nodefrom,nodeto,cable,length,PCR
3863647,43261,BT - Desconocido BT,1.0,0
43261,3225966,BT - Desconocido BT,30.0,0
3225966,2612375,BT - Desconocido BT,60.0,0
2612375,43272,BT - Desconocido BT,2.0,0
2612375,45270,BT - Desconocido BT,13.0,0
45270,45269,BT - Desconocido BT,3.0,0
45270,2528176,BT - Desconocido BT,6.0,0
2528176,45263,BT - Desconocido BT,29.0,0
2528176,2528185,BT - Desconocido BT,1.0,15186801
45263,45264,BT - Desconocido BT,1.0,0
45263,3225975,BT - Desconocido BT,29.0,0
2528185,2569269,BT - Desconocido BT,43.0,15186501
3225975,45262,BT - Desconocido BT,17.0,0
2569269,2574577,BT - MANGUERA,20.1,15186701
3863647,43278,BT - Desconocido BT,1.0,0
43278,43280,BT - Desconocido BT,3.15,0
43280,2581048,BT - Desconocido BT,3.0,15124601
43280,2040121,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",44.6,15123901
2581048,2040120,BT - Desconocido BT,4.38,0
2040121,2581106,BT - Desconocido BT,3.62,15124001
2040121,2528209,BT - Desconocido BT,16.29,4278001
2581106,2581116,BT - Desconocido BT,4.03,15124201
2528209,2528219,BT - MANGUERA,3.75,0
2528209,2528225,BT - MANGUERA,5.93,15123701
2528209,2581078,BT - Desconocido BT,8.56,4277901
2581116,3743568,BT - Desconocido BT,3.53,500000018
2581078,2528256,BT - Desconocido BT,6.09,15123501
3743568,2040119,BT - Desconocido BT,2.54,0
2528256,3380939,BT - Desconocido BT,13.78,0
3380939,2528253,BT - Desconocido BT,7.19,4277801
3380939,3380944,"BT - RV 0,6/1 KV 4*25 KAL",47.65,0
2528253,43281,BT - Desconocido BT,5.85,0
3380944,3380949,"BT - RV 0,6/1 KV 4*25 KAL",8.24,100650695
43281,43282,BT - Desconocido BT,10.58,0
43281,2537296,"BT - RZ 0,6/1 KV 4*16 AL",11.73,15123201
2537296,2581191,"BT - RZ 0,6/1 KV 4*16 AL",4.64,15123101
2537296,2537301,"BT - RZ 0,6/1 KV 4*16 AL",12.62,8698501
2581191,2528280,"BT - RZ 0,6/1 KV 4*16 AL",6.51,15123002
3863647,43298,BT - Desconocido BT,1.0,0
43298,2762360,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",2.0,0
2762360,2762282,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",9.0,0
2762282,2762361,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",9.0,0
2762282,2762301,"BT - RV 0,6/1 KV 4*95 KAL",1.0,500006548
2762361,2538951,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",24.0,0
2538951,902210,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,100204349
2538951,2538956,"BT - RV 0,6/1 KV 4*95 KAL",2.0,37201201
